DATE,MAX_TEMP_C,MIN_TEMP_C,MAX_WIND_KMH,TOT_RAIN_MM
20/12/2008,19.6,14.2,4.1,0
21/12/2008,22.2,13.5,11.2,0
22/12/2008,22.4,10.2,11.2,0
23/12/2008,22.4,8.4,5.7,0
24/12/2008,23.2,8.5,4.1,0
25/12/2008,24.5,7,7.1,0
26/12/2008,23.8,6.4,1.4,0
27/12/2008,25.4,6.5,2.7,0
28/12/2008,25.5,7.6,0,0
29/12/2008,20.8,8.4,2.7,0
30/12/2008,21,8,5.7,0
31/12/2008,16,8.2,8.4,0
